item_id,square_catalog_id,sku,item_name,brand,category,subcategory,era_decade,size,measurements,condition_rating,condition_notes,material,color_primary,color_secondary,pattern,cost_price,selling_price,suggested_retail_price,source,acquisition_date,acquisition_location,is_one_of_a_kind,weight_grams,photo_urls,tags,status
13,sq_item_013,VIN0013,LavenderBlush Sneakers,H&M,shoes,sneakers,1970s,M,"{""chest"": ""39\"""", ""waist"": ""29\"""", ""length"": ""49\""""}",4,Ea et reiciendis praesentium quasi.,polyester,purple,,stripes,67.02,237.64,285.17,consignment,2024-08-19,Shawnbury,True,1580,['https://example.com/photos/item_13_0.jpg'],"['classic', 'statement_piece']",sold
14,sq_item_014,VIN0014,Crimson Heels,Unknown,shoes,heels,1980s,XL,"{""chest"": ""33\"""", ""waist"": ""34\"""", ""length"": ""49\""""}",5,,polyester,blue,,polka_dot,9.66,22.75,27.3,thrift_store,2024-04-10,East Kimberly,True,1631,"['https://example.com/photos/item_14_0.jpg', 'https://example.com/photos/item_14_1.jpg', 'https://example.com/photos/item_14_2.jpg']","['classic', 'retro']",sold
15,sq_item_015,VIN0015,DarkMagenta Denim Jacket,Forever 21,jackets,denim_jacket,1980s,size_12,"{""chest"": ""37\"""", ""waist"": ""25\"""", ""length"": ""49\""""}",4,Autem ipsum et blanditiis.,polyester,gray,,floral,62.14,251.11,301.33,consignment,2024-06-16,Tamiborough,True,1004,['https://example.com/photos/item_15_0.jpg'],"['festival', 'retro', 'vintage']",sold
16,sq_item_016,VIN0016,RoyalBlue Cocktail Dress,Diane von Furstenberg,dresses,cocktail_dress,1960s,size_10,"{""chest"": ""42\"""", ""waist"": ""36\"""", ""length"": ""29\""""}",5,,cotton,blue,,solid,65.65,220.6,264.72,online_marketplace,2023-12-19,Stevenville,True,1534,['https://example.com/photos/item_16_0.jpg'],"['bohemian', 'classic', 'vintage']",sold
17,sq_item_017,VIN0017,DarkGoldenRod Maxi Dress,Local Designer,dresses,maxi_dress,1980s,size_8,"{""chest"": ""37\"""", ""waist"": ""30\"""", ""length"": ""34\""""}",5,,cashmere,white,,animal_print,35.67,153.63,184.36,donation,2023-05-17,Port Gina,True,1438,"['https://example.com/photos/item_17_0.jpg', 'https://example.com/photos/item_17_1.jpg', 'https://example.com/photos/item_17_2.jpg']",['festival'],available
18,sq_item_018,VIN0018,BlueViolet Belt,Vintage Levi's,accessories,belt,1960s,XL,"{""chest"": ""39\"""", ""waist"": ""34\"""", ""length"": ""43\""""}",4,,polyester,blue,,floral,44.66,186.84,224.21,consignment,2023-07-13,Port Melissa,True,1892,['https://example.com/photos/item_18_0.jpg'],['classic'],sold
19,sq_item_019,VIN0019,DarkViolet Leather Jacket,Unknown,jackets,leather_jacket,1990s,XS,"{""chest"": ""35\"""", ""waist"": ""35\"""", ""length"": ""21\""""}",4,Quae voluptas id aliquid.,polyester,black,green,floral,23.05,50.75,60.9,donation,2023-11-23,Jorgeburgh,True,1282,"['https://example.com/photos/item_19_0.jpg', 'https://example.com/photos/item_19_1.jpg', 'https://example.com/photos/item_19_2.jpg']",['statement_piece'],sold
20,sq_item_020,VIN0020,Black Blazer,J.Crew,tops,blazer,1990s,M,"{""chest"": ""42\"""", ""waist"": ""34\"""", ""length"": ""33\""""}",4,Sequi nam mollitia atque aut recusandae.,denim,pink,,stripes,21.58,62.61,75.13,online_marketplace,2024-02-23,North Bryanbury,True,405,"['https://example.com/photos/item_20_0.jpg', 'https://example.com/photos/item_20_1.jpg', 'https://example.com/photos/item_20_2.jpg']","['festival', 'retro']",sold
21,sq_item_021,VIN0021,DarkSeaGreen Denim Jacket,Ann Taylor,jackets,denim_jacket,Y2K,size_12,"{""chest"": ""38\"""", ""waist"": ""30\"""", ""length"": ""37\""""}",4,,leather,blue,,solid,68.7,199.38,239.26,online_marketplace,2024-01-15,Port Richard,True,289,"['https://example.com/photos/item_21_0.jpg', 'https://example.com/photos/item_21_1.jpg']",['statement_piece'],available
22,sq_item_022,VIN0022,DarkBlue Leather Jacket,Forever 21,jackets,leather_jacket,1980s,size_10,"{""chest"": ""35\"""", ""waist"": ""29\"""", ""length"": ""29\""""}",5,Nesciunt totam asperiores voluptatum deserunt officia repellat at.,polyester,white,,polka_dot,70.52,180.85,217.02,thrift_store,2024-12-13,Davidmouth,True,1337,"['https://example.com/photos/item_22_0.jpg', 'https://example.com/photos/item_22_1.jpg']","['festival', 'retro']",available
23,sq_item_023,VIN0023,BurlyWood Pants,Unknown,bottoms,pants,1980s,size_10,"{""chest"": ""39\"""", ""waist"": ""25\"""", ""length"": ""45\""""}",5,,denim,blue,,polka_dot,33.55,120.81,144.97,estate_sale,2024-07-30,New Ryan,True,1869,"['https://example.com/photos/item_23_0.jpg', 'https://example.com/photos/item_23_1.jpg']","['festival', 'bohemian', 'statement_piece']",sold
24,sq_item_024,VIN0024,Orchid Belt,Zara,accessories,belt,1970s,size_12,"{""chest"": ""42\"""", ""waist"": ""34\"""", ""length"": ""30\""""}",4,,linen,purple,yellow,floral,27.14,70.25,84.3,thrift_store,2024-07-13,Johnsonchester,True,1100,"['https://example.com/photos/item_24_0.jpg', 'https://example.com/photos/item_24_1.jpg']","['classic', 'bohemian', 'retro']",sold
25,sq_item_025,VIN0025,ForestGreen Mini Dress,Unknown,dresses,mini_dress,1990s,XS,"{""chest"": ""35\"""", ""waist"": ""32\"""", ""length"": ""34\""""}",4,,linen,purple,brown,geometric,62.33,201.77,242.12,online_marketplace,2023-01-13,Jasonburgh,True,134,"['https://example.com/photos/item_25_0.jpg', 'https://example.com/photos/item_25_1.jpg', 'https://example.com/photos/item_25_2.jpg']","['statement_piece', 'bohemian', 'vintage']",available
26,sq_item_026,VIN0026,LightSalmon Blouse,Zara,tops,blouse,1970s,size_6,"{""chest"": ""36\"""", ""waist"": ""36\"""", ""length"": ""32\""""}",3,,linen,gray,blue,stripes,73.85,263.88,316.66,estate_sale,2024-10-31,Seanberg,True,1857,['https://example.com/photos/item_26_0.jpg'],['vintage'],sold
27,sq_item_027,VIN0027,BlanchedAlmond Cardigan,Unknown,jackets,cardigan,1980s,size_8,"{""chest"": ""42\"""", ""waist"": ""36\"""", ""length"": ""30\""""}",4,,silk,brown,,floral,46.45,100.72,120.86,thrift_store,2024-12-09,Lake Kenneth,True,1917,"['https://example.com/photos/item_27_0.jpg', 'https://example.com/photos/item_27_1.jpg', 'https://example.com/photos/item_27_2.jpg', 'https://example.com/photos/item_27_3.jpg']","['bohemian', 'classic']",sold
28,sq_item_028,VIN0028,PaleVioletRed Flats,J.Crew,shoes,flats,1970s,L,"{""chest"": ""41\"""", ""waist"": ""26\"""", ""length"": ""44\""""}",5,,silk,green,blue,geometric,72.45,267.38,320.86,online_marketplace,2024-11-24,Brownview,True,1936,"['https://example.com/photos/item_28_0.jpg', 'https://example.com/photos/item_28_1.jpg', 'https://example.com/photos/item_28_2.jpg']","['classic', 'festival']",sold
29,sq_item_029,VIN0029,OliveDrab Boots,Unknown,shoes,boots,1990s,size_6,"{""chest"": ""41\"""", ""waist"": ""36\"""", ""length"": ""39\""""}",5,,denim,black,,polka_dot,42.56,209.52,251.42,online_marketplace,2023-08-22,South James,True,828,"['https://example.com/photos/item_29_0.jpg', 'https://example.com/photos/item_29_1.jpg', 'https://example.com/photos/item_29_2.jpg', 'https://example.com/photos/item_29_3.jpg']","['festival', 'retro']",sold
30,sq_item_030,VIN0030,Violet Sneakers,H&M,shoes,sneakers,1960s,M,"{""chest"": ""38\"""", ""waist"": ""35\"""", ""length"": ""45\""""}",4,,denim,yellow,black,stripes,11.43,44.07,52.88,online_marketplace,2024-01-04,Lake Virginia,True,1659,"['https://example.com/photos/item_30_0.jpg', 'https://example.com/photos/item_30_1.jpg', 'https://example.com/photos/item_30_2.jpg']",['festival'],available
31,sq_item_031,VIN0031,YellowGreen Midi Dress,Vintage Levi's,dresses,midi_dress,1960s,size_12,"{""chest"": ""33\"""", ""waist"": ""33\"""", ""length"": ""39\""""}",5,,cotton,green,,solid,37.32,137.0,164.4,donation,2023-09-06,South Kimberlystad,True,1271,"['https://example.com/photos/item_31_0.jpg', 'https://example.com/photos/item_31_1.jpg']","['vintage', 'festival', 'retro']",sold
32,sq_item_032,VIN0032,Silver Pants,Unknown,bottoms,pants,1970s,S,"{""chest"": ""37\"""", ""waist"": ""28\"""", ""length"": ""50\""""}",4,,polyester,purple,green,solid,25.13,61.26,73.51,online_marketplace,2023-12-07,Coopershire,True,1823,"['https://example.com/photos/item_32_0.jpg', 'https://example.com/photos/item_32_1.jpg', 'https://example.com/photos/item_32_2.jpg', 'https://example.com/photos/item_32_3.jpg']","['vintage', 'statement_piece']",sold
33,sq_item_033,VIN0033,SteelBlue Denim Jacket,Diane von Furstenberg,jackets,denim_jacket,1970s,size_8,"{""chest"": ""37\"""", ""waist"": ""28\"""", ""length"": ""43\""""}",4,,polyester,yellow,,polka_dot,27.53,104.88,125.86,consignment,2023-04-27,Paulburgh,True,1254,"['https://example.com/photos/item_33_0.jpg', 'https://example.com/photos/item_33_1.jpg']","['retro', 'festival', 'bohemian']",available
34,sq_item_034,VIN0034,Bisque Sneakers,Ann Taylor,shoes,sneakers,1960s,size_8,"{""chest"": ""42\"""", ""waist"": ""31\"""", ""length"": ""24\""""}",4,Nisi adipisci repellat eligendi repellat iusto.,wool,pink,,solid,75.72,199.06,238.87,online_marketplace,2024-09-04,Katiebury,True,1081,"['https://example.com/photos/item_34_0.jpg', 'https://example.com/photos/item_34_1.jpg', 'https://example.com/photos/item_34_2.jpg', 'https://example.com/photos/item_34_3.jpg']","['retro', 'vintage', 'bohemian']",available
35,sq_item_035,VIN0035,DimGray Jeans,Unknown,bottoms,jeans,1980s,size_14,"{""chest"": ""42\"""", ""waist"": ""34\"""", ""length"": ""40\""""}",4,,cashmere,white,green,floral,13.2,36.23,43.48,donation,2024-06-15,East Dianeview,True,1242,"['https://example.com/photos/item_35_0.jpg', 'https://example.com/photos/item_35_1.jpg']","['statement_piece', 'vintage']",available
36,sq_item_036,VIN0036,White Denim Jacket,Unknown,jackets,denim_jacket,Y2K,S,"{""chest"": ""34\"""", ""waist"": ""29\"""", ""length"": ""29\""""}",4,,linen,yellow,,polka_dot,30.87,64.01,76.81,online_marketplace,2023-11-23,Port Wendybury,True,237,"['https://example.com/photos/item_36_0.jpg', 'https://example.com/photos/item_36_1.jpg', 'https://example.com/photos/item_36_2.jpg']",['classic'],sold
37,sq_item_037,VIN0037,Orange Mini Dress,Unknown,dresses,mini_dress,Y2K,L,"{""chest"": ""40\"""", ""waist"": ""26\"""", ""length"": ""37\""""}",3,,linen,blue,,animal_print,68.69,270.91,325.09,thrift_store,2023-07-10,Savannahburgh,True,1411,"['https://example.com/photos/item_37_0.jpg', 'https://example.com/photos/item_37_1.jpg', 'https://example.com/photos/item_37_2.jpg', 'https://example.com/photos/item_37_3.jpg']","['bohemian', 'retro']",available
38,sq_item_038,VIN0038,Fuchsia Tank Top,Unknown,tops,tank_top,1990s,S,"{""chest"": ""41\"""", ""waist"": ""25\"""", ""length"": ""45\""""}",5,Nihil rem possimus totam adipisci.,denim,blue,,stripes,49.42,156.49,187.79,online_marketplace,2024-06-24,Staceyshire,True,1408,"['https://example.com/photos/item_38_0.jpg', 'https://example.com/photos/item_38_1.jpg', 'https://example.com/photos/item_38_2.jpg']","['vintage', 'retro', 'classic']",available
39,sq_item_039,VIN0039,DarkTurquoise Handbag,Ann Taylor,accessories,handbag,1990s,XL,"{""chest"": ""41\"""", ""waist"": ""33\"""", ""length"": ""22\""""}",4,,polyester,green,yellow,animal_print,31.09,141.04,169.25,thrift_store,2024-06-07,Port Vanessa,True,895,"['https://example.com/photos/item_39_0.jpg', 'https://example.com/photos/item_39_1.jpg', 'https://example.com/photos/item_39_2.jpg', 'https://example.com/photos/item_39_3.jpg']","['festival', 'retro', 'vintage']",available
40,sq_item_040,VIN0040,Snow Denim Jacket,J.Crew,jackets,denim_jacket,1970s,M,"{""chest"": ""39\"""", ""waist"": ""28\"""", ""length"": ""24\""""}",3,,cotton,yellow,,polka_dot,41.5,149.9,179.88,thrift_store,2023-07-19,Gregoryton,True,1769,"['https://example.com/photos/item_40_0.jpg', 'https://example.com/photos/item_40_1.jpg', 'https://example.com/photos/item_40_2.jpg', 'https://example.com/photos/item_40_3.jpg']","['retro', 'vintage', 'classic']",available
41,sq_item_041,VIN0041,DarkGoldenRod Sneakers,Vintage Levi's,shoes,sneakers,1960s,L,"{""chest"": ""36\"""", ""waist"": ""24\"""", ""length"": ""28\""""}",4,Doloremque dolor minima a.,linen,gray,,polka_dot,36.17,163.48,196.18,donation,2024-06-07,Port David,True,331,['https://example.com/photos/item_41_0.jpg'],"['retro', 'statement_piece']",sold
42,sq_item_042,VIN0042,Fuchsia Handbag,Unknown,accessories,handbag,1990s,L,"{""chest"": ""36\"""", ""waist"": ""24\"""", ""length"": ""34\""""}",4,,silk,purple,,solid,62.0,206.09,247.31,thrift_store,2023-08-03,Brianberg,True,1760,"['https://example.com/photos/item_42_0.jpg', 'https://example.com/photos/item_42_1.jpg', 'https://example.com/photos/item_42_2.jpg']","['retro', 'vintage', 'festival']",sold
43,sq_item_043,VIN0043,DarkTurquoise Scarf,Zara,accessories,scarf,1980s,size_14,"{""chest"": ""40\"""", ""waist"": ""26\"""", ""length"": ""30\""""}",5,Sed similique vero fuga.,leather,brown,,animal_print,63.86,283.58,340.3,estate_sale,2023-05-19,Willismouth,True,1636,"['https://example.com/photos/item_43_0.jpg', 'https://example.com/photos/item_43_1.jpg', 'https://example.com/photos/item_43_2.jpg', 'https://example.com/photos/item_43_3.jpg']",['statement_piece'],available
44,sq_item_044,VIN0044,LimeGreen Heels,Unknown,shoes,heels,1970s,size_8,"{""chest"": ""39\"""", ""waist"": ""26\"""", ""length"": ""38\""""}",4,,cashmere,purple,white,polka_dot,57.61,138.15,165.78,donation,2023-10-12,Derekburgh,True,1522,"['https://example.com/photos/item_44_0.jpg', 'https://example.com/photos/item_44_1.jpg', 'https://example.com/photos/item_44_2.jpg']","['vintage', 'statement_piece']",sold
45,sq_item_045,VIN0045,PowderBlue Handbag,Local Designer,accessories,handbag,1980s,size_6,"{""chest"": ""33\"""", ""waist"": ""36\"""", ""length"": ""37\""""}",4,,polyester,purple,green,stripes,70.17,318.68,382.42,donation,2024-08-14,Banksburgh,True,367,"['https://example.com/photos/item_45_0.jpg', 'https://example.com/photos/item_45_1.jpg', 'https://example.com/photos/item_45_2.jpg', 'https://example.com/photos/item_45_3.jpg']","['classic', 'bohemian']",sold
46,sq_item_046,VIN0046,MintCream Mini Dress,J.Crew,dresses,mini_dress,1970s,size_10,"{""chest"": ""32\"""", ""waist"": ""30\"""", ""length"": ""26\""""}",5,,leather,red,,stripes,51.96,234.35,281.22,estate_sale,2024-11-01,Lake Brianna,True,838,"['https://example.com/photos/item_46_0.jpg', 'https://example.com/photos/item_46_1.jpg', 'https://example.com/photos/item_46_2.jpg']",['statement_piece'],sold
47,sq_item_047,VIN0047,ForestGreen Heels,Forever 21,shoes,heels,1980s,S,"{""chest"": ""33\"""", ""waist"": ""24\"""", ""length"": ""26\""""}",4,Esse porro consectetur quas veniam veniam.,polyester,brown,,solid,8.88,34.43,41.32,estate_sale,2024-12-13,Rosalesshire,True,803,['https://example.com/photos/item_47_0.jpg'],"['classic', 'festival']",available
48,sq_item_048,VIN0048,BlanchedAlmond Leather Jacket,Vintage Levi's,jackets,leather_jacket,1980s,XL,"{""chest"": ""34\"""", ""waist"": ""30\"""", ""length"": ""44\""""}",5,,wool,white,,solid,22.17,50.28,60.34,donation,2024-10-27,New Lucas,True,436,"['https://example.com/photos/item_48_0.jpg', 'https://example.com/photos/item_48_1.jpg', 'https://example.com/photos/item_48_2.jpg', 'https://example.com/photos/item_48_3.jpg']","['classic', 'festival']",available
49,sq_item_049,VIN0049,Indigo Heels,Unknown,shoes,heels,1990s,M,"{""chest"": ""33\"""", ""waist"": ""33\"""", ""length"": ""43\""""}",4,,denim,red,white,floral,73.99,284.73,341.68,donation,2024-09-07,South Donaldland,True,1328,"['https://example.com/photos/item_49_0.jpg', 'https://example.com/photos/item_49_1.jpg', 'https://example.com/photos/item_49_2.jpg']","['bohemian', 'statement_piece', 'festival']",sold
50,sq_item_050,VIN0050,LavenderBlush Scarf,Banana Republic,accessories,scarf,Y2K,size_10,"{""chest"": ""38\"""", ""waist"": ""25\"""", ""length"": ""27\""""}",4,,cotton,yellow,,floral,61.09,176.34,211.61,online_marketplace,2024-08-05,Toniburgh,True,961,"['https://example.com/photos/item_50_0.jpg', 'https://example.com/photos/item_50_1.jpg', 'https://example.com/photos/item_50_2.jpg']","['classic', 'festival', 'vintage']",sold
51,sq_item_051,VIN0051,DarkCyan Mini Dress,J.Crew,dresses,mini_dress,Y2K,size_8,"{""chest"": ""40\"""", ""waist"": ""28\"""", ""length"": ""40\""""}",5,,cashmere,pink,brown,geometric,49.05,100.13,120.16,donation,2023-06-06,Seanview,True,668,['https://example.com/photos/item_51_0.jpg'],"['bohemian', 'retro']",sold
52,sq_item_052,VIN0052,HoneyDew Sweater,Ann Taylor,tops,sweater,1990s,S,"{""chest"": ""36\"""", ""waist"": ""35\"""", ""length"": ""33\""""}",5,,cotton,blue,pink,solid,45.23,143.48,172.18,online_marketplace,2024-09-18,Lake Carlos,True,1346,['https://example.com/photos/item_52_0.jpg'],"['classic', 'festival']",available
53,sq_item_053,VIN0053,LightCyan Mini Dress,Vintage Band Tee,dresses,mini_dress,1980s,XL,"{""chest"": ""34\"""", ""waist"": ""29\"""", ""length"": ""24\""""}",5,,silk,black,,polka_dot,58.09,238.43,286.12,consignment,2024-06-20,Lake Aaronfurt,True,230,"['https://example.com/photos/item_53_0.jpg', 'https://example.com/photos/item_53_1.jpg', 'https://example.com/photos/item_53_2.jpg']","['retro', 'bohemian', 'vintage']",sold
54,sq_item_054,VIN0054,Purple Blazer,Unknown,jackets,blazer,1990s,size_14,"{""chest"": ""42\"""", ""waist"": ""35\"""", ""length"": ""23\""""}",4,,cotton,black,purple,stripes,9.16,41.94,50.33,online_marketplace,2023-06-03,Costachester,True,466,['https://example.com/photos/item_54_0.jpg'],"['classic', 'vintage', 'festival']",sold
55,sq_item_055,VIN0055,Snow Skirt,Vintage Levi's,bottoms,skirt,1980s,size_12,"{""chest"": ""42\"""", ""waist"": ""24\"""", ""length"": ""25\""""}",4,,cotton,pink,purple,stripes,36.22,150.71,180.85,consignment,2023-12-02,Bellfurt,True,276,"['https://example.com/photos/item_55_0.jpg', 'https://example.com/photos/item_55_1.jpg', 'https://example.com/photos/item_55_2.jpg', 'https://example.com/photos/item_55_3.jpg']",['statement_piece'],sold
56,sq_item_056,VIN0056,DarkGreen T Shirt,Diane von Furstenberg,tops,t_shirt,1980s,size_10,"{""chest"": ""35\"""", ""waist"": ""35\"""", ""length"": ""48\""""}",4,,wool,black,,solid,47.29,137.7,165.24,thrift_store,2024-07-08,Kramershire,True,809,['https://example.com/photos/item_56_0.jpg'],"['bohemian', 'vintage']",available
57,sq_item_057,VIN0057,Ivory Flats,Diane von Furstenberg,shoes,flats,1960s,M,"{""chest"": ""36\"""", ""waist"": ""25\"""", ""length"": ""21\""""}",5,,cashmere,yellow,,animal_print,12.8,45.94,55.13,estate_sale,2024-08-17,South Charles,True,295,"['https://example.com/photos/item_57_0.jpg', 'https://example.com/photos/item_57_1.jpg']","['vintage', 'bohemian', 'retro']",sold
58,sq_item_058,VIN0058,BlanchedAlmond Denim Jacket,Ann Taylor,jackets,denim_jacket,1990s,size_6,"{""chest"": ""37\"""", ""waist"": ""31\"""", ""length"": ""28\""""}",4,,wool,gray,white,floral,22.76,63.34,76.01,online_marketplace,2024-04-22,Andrewview,True,743,"['https://example.com/photos/item_58_0.jpg', 'https://example.com/photos/item_58_1.jpg', 'https://example.com/photos/item_58_2.jpg', 'https://example.com/photos/item_58_3.jpg']",['retro'],sold
59,sq_item_059,VIN0059,DarkKhaki Skirt,Vintage Levi's,bottoms,skirt,1990s,XL,"{""chest"": ""41\"""", ""waist"": ""24\"""", ""length"": ""26\""""}",5,,silk,blue,,polka_dot,38.89,131.84,158.21,donation,2023-02-20,West Georgefurt,True,1486,"['https://example.com/photos/item_59_0.jpg', 'https://example.com/photos/item_59_1.jpg', 'https://example.com/photos/item_59_2.jpg']","['festival', 'bohemian']",available
60,sq_item_060,VIN0060,DodgerBlue Cardigan,Vintage Levi's,jackets,cardigan,1990s,S,"{""chest"": ""32\"""", ""waist"": ""24\"""", ""length"": ""46\""""}",5,Molestias tempore at nisi.,polyester,pink,,animal_print,46.7,170.47,204.56,estate_sale,2024-08-19,Bushchester,True,1300,"['https://example.com/photos/item_60_0.jpg', 'https://example.com/photos/item_60_1.jpg', 'https://example.com/photos/item_60_2.jpg']",['bohemian'],sold
61,sq_item_061,VIN0061,FireBrick Midi Dress,J.Crew,dresses,midi_dress,1990s,size_6,"{""chest"": ""33\"""", ""waist"": ""24\"""", ""length"": ""50\""""}",4,Suscipit culpa aut dignissimos deleniti possimus quam quas.,cashmere,pink,,polka_dot,72.69,242.08,290.5,online_marketplace,2023-06-26,Donnaport,True,824,"['https://example.com/photos/item_61_0.jpg', 'https://example.com/photos/item_61_1.jpg']",['statement_piece'],sold
62,sq_item_062,VIN0062,LavenderBlush Shorts,Unknown,bottoms,shorts,1970s,size_8,"{""chest"": ""40\"""", ""waist"": ""31\"""", ""length"": ""21\""""}",3,,cashmere,blue,,geometric,71.26,149.93,179.92,thrift_store,2024-10-07,North Philipside,True,1742,['https://example.com/photos/item_62_0.jpg'],"['classic', 'statement_piece']",available
63,sq_item_063,VIN0063,SlateGray Cardigan,Unknown,jackets,cardigan,1960s,size_14,"{""chest"": ""35\"""", ""waist"": ""24\"""", ""length"": ""48\""""}",5,Amet a assumenda reprehenderit.,linen,brown,,geometric,30.8,113.87,136.64,thrift_store,2023-06-13,Gonzaleztown,True,305,"['https://example.com/photos/item_63_0.jpg', 'https://example.com/photos/item_63_1.jpg']","['festival', 'statement_piece', 'bohemian']",sold
